                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    107,                 1.1422,                 1.0934,                 1.7797,                0.98227,                0.98133,                0.99038,                0.79825,                0.82256,                0.87844,                 1.4947,             0.00058024,             0.00058024,             0.00058024
                    108,                 1.1091,                 1.0586,                 1.7311,                0.96848,                0.97833,                0.98934,                0.80569,                0.80726,                0.76519,                 1.4832,             0.00057628,             0.00057628,             0.00057628
                    109,                 1.1034,                 1.1011,                 1.7284,                0.98246,                0.98273,                0.98971,                 0.7795,                0.88931,                0.66526,                 1.5502,             0.00057232,             0.00057232,             0.00057232
                    110,                 1.1289,                  1.094,                 1.7629,                0.98707,                0.98937,                0.99123,                0.79423,                0.85221,                0.58745,                 1.5293,             0.00056836,             0.00056836,             0.00056836
                    111,                 1.1191,                 1.0862,                 1.7235,                0.97416,                0.99372,                0.99037,                0.79198,                0.84932,                0.60614,                 1.5142,              0.0005644,              0.0005644,              0.0005644
                    112,                 1.1345,                  1.076,                 1.7532,                0.98702,                0.98968,                 0.9903,                0.78503,                 0.8727,                0.60675,                 1.5627,             0.00056044,             0.00056044,             0.00056044
                    113,                 1.1316,                 1.1603,                 1.7591,                0.98466,                0.97396,                 0.9896,                0.81395,                0.79314,                0.57158,                 1.4681,             0.00055648,             0.00055648,             0.00055648
                    114,                 1.0517,                 1.0404,                 1.7101,                0.98271,                0.99041,                0.99061,                0.80549,                0.80693,                0.58739,                 1.4964,             0.00055252,             0.00055252,             0.00055252
                    115,                 1.0754,                 1.0457,                 1.7274,                0.93409,                0.94286,                0.98152,                0.78772,                 0.8073,                0.67851,                 1.4741,             0.00054856,             0.00054856,             0.00054856
                    116,                 1.0205,                0.99016,                 1.6865,                0.97075,                0.99215,                0.99274,                0.80429,                0.82952,                0.58758,                 1.5281,              0.0005446,              0.0005446,              0.0005446
                    117,                 1.0628,                 1.0162,                 1.6685,                0.94502,                 0.9897,                 0.9908,                0.79931,                0.80091,                0.64367,                 1.4747,             0.00054064,             0.00054064,             0.00054064
